,İlan Tarihi,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
3258,15/06/2020,Hyundai,Elantra,1.6 GLS,2005.0,Benzin/LPG,Otomatik Vites,1601-1800 cc,101-125 BG,Gümüş Gri ,Sedan,Sahibinden,2. El,86000,72500
3259,15/06/2020,Hyundai,Accent,1.5 1.5i GLS,2001.0,Benzin/LPG,Düz Vites,1601-1800 cc,100 BG ve altı,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,267,31500
3260,15/06/2020,Hyundai,Accent Era,1.5 CRDi Team,2011.0,Dizel,Düz Vites,Bilmiyorum,126-150 BG,Şampanya ,Diğer,Sahibinden,2. El,121000,73000
3261,15/06/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2012.0,Dizel,Otomatik Vites,1601-1800 cc,126-150 BG,Gri ,Sedan,Sahibinden,2. El,225000,80500
3262,16/06/2020,Hyundai,I40,1.6 GDI Prime,2013.0,Benzin/LPG,Düz Vites,1601-1800 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,190000,91000
3263,15/06/2020,Hyundai,I20,1.4 CRDI Elite,2016.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,104660,117500
3264,15/06/2020,Hyundai,Accent,1.3 GLS,1998.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Mavi ,Sedan,Sahibinden,2. El,261913,20000
3265,15/06/2020,Hyundai,Accent Era,1.5 CRDi-VGT Team,2008.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Diğer ,Sedan,Sahibinden,2. El,226,58000
3267,15/06/2020,Hyundai,Accent,1.5 GLS,1998.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Sedan,Sahibinden,2. El,270000,24500
3268,15/06/2020,Hyundai,Sonata,2.0 GLS,2004.0,Benzin/LPG,Otomatik Vites,2001-2500 cc,126-150 BG,Siyah ,Sedan,Sahibinden,2. El,240000,53750
3270,14/06/2020,Hyundai,Accent Era,1.5 CRDi-VGT Team,2008.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Füme ,Sedan,Galeriden,2. El,240000,46500
3271,14/06/2020,Hyundai,Getz,1.4 DOHC,2007.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Siyah ,Hatchback 5 Kapı,Sahibinden,2. El,127000,67250
3272,14/06/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Düz Vites,1301-1600 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,99000,103950
3273,14/06/2020,Hyundai,Diğer,Diğer,2013.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,178000,71000
3274,14/06/2020,Hyundai,Accent Era,1.4 Era Team,2012.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Sedan,Galeriden,2. El,83000,82500
3275,14/06/2020,Hyundai,I20,1.4 CRDI Jump,2012.0,Dizel,Düz Vites,1300 cc ve altı,51-75 BG,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,196000,66500
3276,14/06/2020,Hyundai,Accent Era,1.4 Era Start,2011.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gri ,Sedan,Sahibinden,2. El,130000,65000
3277,14/06/2020,Hyundai,Tucson,1.6 T-GDI Elite,2017.0,Benzin,Otomatik Vites,1301-1600 cc,176-200 BG,Gri ,Arazi Aracı,Sahibinden,2. El,49500,210000
3278,14/06/2020,Hyundai,I20,1.2 D-CVVT Jump,2013.0,Benzin/LPG,Düz Vites,1300 cc ve altı,76-100 BG,Mavi ,Hatchback 5 Kapı,Sahibinden,2. El,109000,71500
3279,14/06/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Otomatik Vites,1601-1800 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,243000,99999
3280,14/06/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2015.0,Dizel,Otomatik Vites,1601-1800 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,130000,101750
3281,14/06/2020,Hyundai,I20,1.4 CRDI Jump,2015.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gri ,Sedan,Galeriden,2. El,160000,82750
3282,14/06/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2013.0,Dizel,Düz Vites,1601-1800 cc,101-125 BG,Beyaz ,Sedan,Galeriden,Klasik,152000,85750
3283,14/06/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Düz Vites,1601-1800 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,155000,95750
3284,14/06/2020,Hyundai,I20,1.4 CRDi Style,2014.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Turuncu ,Hatchback 5 Kapı,Sahibinden,2. El,102000,92000
3285,13/06/2020,Hyundai,Accent Era,1.6 Era Team,2010.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Sedan,Sahibinden,2. El,68850,75500
3286,13/06/2020,Hyundai,Getz,1.4 DOHC,2007.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,310000,58000
3287,13/06/2020,Hyundai,Accent,1.3 GLS,1998.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Yeşil ,Sedan,Galeriden,2. El,253000,24900
3288,13/06/2020,Hyundai,Accent,1.5 CRDi Admire,2003.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,170000,48000
3290,13/06/2020,Hyundai,I20,"1.4 CVVT
",2011.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,100000,63000
3291,13/06/2020,Hyundai,I30,1.6 CRDi Style,2012.0,Dizel,Düz Vites,1301-1600 cc,126-150 BG,Bej ,Hatchback 5 Kapı,Sahibinden,2. El,70000,115000
3292,13/06/2020,Hyundai,Accent Blue,1.6 CRDI Biz,2013.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,128000,95000
3293,13/06/2020,Hyundai,Matrix,"1.5 CRDi 
",2006.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Sedan,Galeriden,2. El,259000,30750
3295,13/06/2020,Hyundai,Tucson,1.6 T-GDI Elite Plus,2016.0,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,151-175 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,65000,215000
3296,13/06/2020,Hyundai,i20 Troy,1.4 CVVT Prime Plus,2011.0,Benzin,Otomatik Vites,1301-1600 cc,76-100 BG,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,119000,88500
3297,13/06/2020,Hyundai,Accent,"1.3
",2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,51-75 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,162000,39500
3298,13/06/2020,Hyundai,Getz,1.5 CRDi VGT,2005.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,180000,48500
3299,12/06/2020,Hyundai,Getz,1.3 GLS Otm.,2005.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Gri ,Hatchback 5 Kapı,Sahibinden,2. El,111000,42500
3300,12/06/2020,Hyundai,Excel,1.5 GLS,1992.0,Benzin/LPG,Düz Vites,1301-1600 cc,51-75 BG,Beyaz ,Sedan,Sahibinden,2. El,290000,16250
3301,12/06/2020,Hyundai,Accent Blue,1.6 CRDI Prime,2016.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Sedan,Sahibinden,2. El,127000,128750
3302,12/06/2020,Hyundai,I20,1.2 Team,2011.0,Benzin,Düz Vites,1300 cc ve altı,51-75 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,182000,56750
3303,12/06/2020,Hyundai,Sonata,2.0 CRDi Style,2011.0,Dizel,Otomatik Vites,1801-2000 cc,101-125 BG,Beyaz ,Sedan,Sahibinden,2. El,202000,85000
3304,12/06/2020,Hyundai,Accent Era,1.4 Era Start,2012.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Sedan,Sahibinden,2. El,84500,71000
3305,12/06/2020,Hyundai,I20,1.2 MPI Style,2017.0,Benzin/LPG,Düz Vites,1300 cc ve altı,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,113000,86500
3306,12/06/2020,Hyundai,I20,"1.4 CRDi
",2013.0,Dizel,Düz Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,165000,75000
3307,12/06/2020,Hyundai,Accent,1.6 Admire,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Bal Rengi ,Sedan,Galeriden,2. El,199000,37500
3310,12/06/2020,Hyundai,Accent Era,1.4 Era Select,2009.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Mavi ,Sedan,Galeriden,2. El,114000,69950
3311,12/06/2020,Hyundai,Accent Blue,1.4 CVVT Mode Plus,2012.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,101-125 BG,Gümüş Gri ,Sedan,Galeriden,2. El,97000,90500
3312,11/06/2020,Hyundai,Elantra,1.6 Elegance,2005.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Mavi ,Sedan,Galeriden,2. El,200000,38750
3313,11/06/2020,Hyundai,IX35,"1.6 GDI
",2015.0,Benzin/LPG,Düz Vites,1601-1800 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,46440,168000
3316,11/06/2020,Hyundai,Accent Era,1.4 Team,2010.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Sedan,Galeriden,2. El,225000,41500
3317,11/06/2020,Hyundai,I20,1.4 MPI Elite,2017.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,13000,133750
3318,11/06/2020,Hyundai,Accent Era,1.5 CRDi Team,2009.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Sedan,Sahibinden,2. El,115600,66750
3319,11/06/2020,Hyundai,Accent Blue,1.6 CRDI Mode,2012.0,Dizel,Otomatik Vites,1601-1800 cc,126-150 BG,Gümüş Gri ,Sedan,Sahibinden,2. El,83000,100000
3320,11/06/2020,Hyundai,I20,1.4 MPI Jump,2019.0,Benzin,Otomatik Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,9000,128000
3321,11/06/2020,Hyundai,Accent Era,1.5 Era CRDi Team,2009.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,150000,48500
3322,11/06/2020,Hyundai,Accent,1.5 GLS,2003.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Mavi ,Sedan,Sahibinden,2. El,265000,36000
3323,11/06/2020,Hyundai,IX35,2.0 R Style Plus,2012.0,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,135000,136000
3324,11/06/2020,Hyundai,I20,1.4 CRDI Jump,2013.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş ,Hatchback 5 Kapı,Galeriden,2. El,156000,64850
3325,11/06/2020,Hyundai,I20,1.4 MPI Elite Smart,2019.0,Benzin,Otomatik Vites,1301-1600 cc,100 BG ve altı,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,19000,150000
3326,11/06/2020,Hyundai,Tucson,1.6 T-GDI Elite,2016.0,Benzin,Yarı Otomatik Vites,1301-1600 cc,176-200 BG,Bej ,Arazi Aracı,Sahibinden,2. El,39000,210000
3327,11/06/2020,Hyundai,Getz,1.5 CRDi Comfort Plus,2006.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,270000,44750
3328,11/06/2020,Hyundai,Accent Blue,1.4 D-CVVT Mode Plus,2018.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Galeriden,0 km,2450,120000
3330,10/06/2020,Hyundai,I20,1.4 MPI Style,2016.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,31000,120000
3331,10/06/2020,Hyundai,Accent,1.6 Admire,2006.0,Benzin/LPG,Düz Vites,1601-1800 cc,76-100 BG,Gri ,Sedan,Galeriden,2. El,191,38500
3332,10/06/2020,Hyundai,I20,1.4 CVVT Sense,2014.0,Benzin,Otomatik Vites,1301-1600 cc,100 BG ve altı,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,57000,99500
3333,10/06/2020,Hyundai,Elantra,1.6 D-CVVT Tune,2013.0,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,101500,109900
3334,10/06/2020,Hyundai,I30,1.4 Blue Drive,2015.0,Benzin/LPG,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,370000,72500
3335,10/06/2020,Hyundai,I20,1.4 CRDi Style,2017.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,87000,104500
3336,10/06/2020,Hyundai,Accent,1.5 CRDi Admire,2004.0,Dizel,Düz Vites,1601-1800 cc,100 BG ve altı,Gri ,Sedan,Galeriden,2. El,294000,31500
3337,10/06/2020,Hyundai,I20,1.4 CVVT Elite,2013.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,74000,85000
3338,09/06/2020,Hyundai,I30,1.6 CVVT Mode Plus,2013.0,Dizel,Otomatik Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,137450,130000
3339,09/06/2020,Hyundai,I10,1.2 D-CVVT Elite,2015.0,Benzin,Otomatik Vites,1300 cc ve altı,76-100 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,40000,95000
3340,09/06/2020,Hyundai,I20,1.4 CVVT Select Otm.,2014.0,Benzin,Otomatik Vites,1301-1600 cc,100 BG ve altı,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,106000,99500
3342,09/06/2020,Hyundai,Getz,1.5 CRDi VGT,2011.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Hatchback 5 Kapı,Galeriden,2. El,161000,49900
3343,09/06/2020,Hyundai,Getz,1.3 GLS Style,2005.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,248000,43900
3344,09/06/2020,Hyundai,Accent,1.4,2008.0,Benzin/LPG,Düz Vites,1601-1800 cc,51-75 BG,Gümüş ,Sedan,Galeriden,2. El,154000,41750
3345,09/06/2020,Hyundai,Getz,1.4 DOHC Start,2010.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,197000,53000
3346,08/06/2020,Hyundai,Accent Era,1.4 Era Team,2011.0,Benzin/LPG,Düz Vites,1601-1800 cc,100 BG ve altı,Beyaz ,Sedan,Galeriden,2. El,225000,49500
3347,08/06/2020,Hyundai,Getz,1.5 CRDi,2007.0,Dizel,Düz Vites,1300 cc ve altı,100 BG ve altı,Siyah ,Sedan,Galeriden,2. El,190000,35500
3348,08/06/2020,Hyundai,Elantra,1.6 CRDi Elite Plus,2016.0,Dizel,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Gri ,Sedan,Sahibinden,2. El,80600,157900
3350,08/06/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2017.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Sedan,Sahibinden,2. El,43320,121500
3351,07/06/2020,Hyundai,Matrix,1.5 CRDi VGT Select,2010.0,Dizel,Düz Vites,1601-1800 cc,76-100 BG,Beyaz ,Diğer,Sahibinden,2. El,285000,39000
3352,07/06/2020,Hyundai,I20,1.4 MPI Elite Smart,2018.0,Benzin/LPG,Yarı Otomatik Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,24100,152500
3353,07/06/2020,Hyundai,Sonata,2.0 CRDi,2008.0,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Bej ,Sedan,Sahibinden,2. El,256000,54000
3355,07/06/2020,Hyundai,I20,1.4 MPI Style,2015.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Kahverengi ,Hatchback 5 Kapı,Sahibinden,2. El,33600,122500
3356,07/06/2020,Hyundai,I10,1.0 D-CVVT Style,2014.0,Benzin,Düz Vites,1300 cc ve altı,50 BG ve altı,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,8000,85000
3357,07/06/2020,Hyundai,Elantra,1.6 D-CVVT Style,2016.0,Benzin,Düz Vites,1601-1800 cc,126-150 BG,Beyaz ,Sedan,Sahibinden,2. El,57600,125000
3358,06/06/2020,Hyundai,Accent Era,"1.4
",2008.0,Benzin/LPG,Düz Vites,1300 cc ve altı,100 BG ve altı,Mavi ,Sedan,Galeriden,2. El,200000,33750
3359,06/06/2020,Hyundai,i20 Troy,1.4 CRDi Mode,2012.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Siyah ,Hatchback 5 Kapı,Galeriden,2. El,162000,62000
3360,06/06/2020,Hyundai,I20,1.2 MPI Jump,2011.0,Benzin,Düz Vites,1300 cc ve altı,100 BG ve altı,Beyaz ,Hatchback 3 Kapı,Galeriden,0 km,105333,60750
3361,06/06/2020,Hyundai,IX35,1.6 GDI 4x2 Style Plus,2014.0,Benzin,Düz Vites,1601-1800 cc,126-150 BG,Gümüş Gri ,Hatchback 5 Kapı,Galeriden,2. El,138000,138000
3363,05/06/2020,Hyundai,I30,1.6 CRDi Elite,2012.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Kırmızı ,Hatchback 5 Kapı,Galeriden,2. El,268000,96750
3364,05/06/2020,Hyundai,Accent,"1.3
",1999.0,Benzin/LPG,Düz Vites,1300 cc ve altı,50 BG ve altı,Beyaz ,Sedan,Sahibinden,2. El,292000,21500
3365,05/06/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2015.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,140000,103500
3366,05/06/2020,Hyundai,Accent,1.5 GLS,1998.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gri ,Sedan,Sahibinden,2. El,181000,24750
3367,04/06/2020,Hyundai,Tucson,1.6 CRDI Smart ,2020.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Kum Rengi ,Arazi Aracı,Sahibinden,0 km,1517,267000
3368,04/06/2020,Hyundai,Accent,"1.5
",2005.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Galeriden,2. El,245,30000
3370,03/06/2020,Hyundai,Elantra,1.6 GLS,2004.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Galeriden,2. El,300000,43900
3371,03/06/2020,Hyundai,Getz,1.5 CRDi VGT,2006.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Lacivert ,Hatchback 5 Kapı,Galeriden,2. El,254000,39900
3372,03/06/2020,Hyundai,Accent Blue,1.4 D-CVVT Mode Plus,2014.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Sahibinden,2. El,68000,89500
3374,03/06/2020,Hyundai,IX35,1.6 GDI 4x2 Style Plus,2013.0,Benzin/LPG,Düz Vites,1301-1600 cc,126-150 BG,Beyaz ,Crossover,Sahibinden,2. El,94500,139000
3375,02/06/2020,Hyundai,Tucson,Diğer,2018.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Kahverengi ,Arazi Aracı,Galeriden,2. El,28800,295000
3377,02/06/2020,Hyundai,Accent,1.3 CRDi,1994.0,Benzin/LPG,Düz Vites,1300 cc ve altı,51-75 BG,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,200,18500
3378,02/06/2020,Hyundai,I10,1.0 D-CVVT Style,2014.0,Benzin,Düz Vites,1300 cc ve altı,51-75 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,46000,72000
3379,01/06/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2015.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,122000,111500
3380,01/06/2020,Hyundai,Accent,1.3 LS,2001.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,200000,23000
3381,01/06/2020,Hyundai,Elantra,1.6 D-CVVT Mode Plus,2012.0,Benzin/LPG,Düz Vites,1601-1800 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,161000,72500
3382,01/06/2020,Hyundai,Getz,1.5 CRDi Classic,2007.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,189000,56500
3384,31/05/2020,Hyundai,I30,1.6 CRDi Team,2011.0,Dizel,Düz Vites,1601-1800 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,76700,80000
3385,31/05/2020,Hyundai,Accent Era,1.5 CRDi Start,2010.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Diğer,Galeriden,2. El,240000,36000
3386,31/05/2020,Hyundai,I20,1.4 CVVT Jump,2014.0,Benzin,Otomatik Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,57000,88900
3387,30/05/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2018.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Sedan,Sahibinden,2. El,3000,141500
3388,30/05/2020,Hyundai,Accent Era,1.4 Era Team,2007.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Bej ,Sedan,Sahibinden,2. El,392000,49000
3390,30/05/2020,Hyundai,Accent,1.4,2012.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Gri ,Sedan,Galeriden,2. El,111,32000
3392,29/05/2020,Hyundai,I30,1.6 CRDi Style Design Pack,2015.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,76000,145000
3393,29/05/2020,Hyundai,I30,1.6 GDi Style,2015.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,53000,123000
3395,28/05/2020,Hyundai,IX35,1.6 GDI 4x2 Style Plus,2013.0,Benzin/LPG,Düz Vites,1301-1600 cc,126-150 BG,Beyaz ,Arazi Aracı,Sahibinden,2. El,115000,129950
3396,28/05/2020,Hyundai,Getz,1.5 CRDi VGT,2006.0,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,73000,59750
3397,28/05/2020,Hyundai,Elantra,"1.6 CRDi Elite
",2016.0,Dizel,Otomatik Vites,1301-1600 cc,126-150 BG,Gümüş Gri ,Sedan,Yetkili,2. El,100000,155000
3398,28/05/2020,Hyundai,Accent Era,1.5 CRDi Start,2008.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Galeriden,2. El,176000,42500
3399,26/05/2020,Hyundai,Elantra,1.6 D-CVVT Mode,2011.0,Benzin/LPG,Düz Vites,1301-1600 cc,126-150 BG,Gümüş Gri ,Sedan,Sahibinden,2. El,139600,106750
3400,26/05/2020,Hyundai,Getz,1.5 CRDi VGT,2010.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Lacivert ,Sedan,Galeriden,2. El,170000,47000
3401,25/05/2020,Hyundai,Accent Blue,1.6 CRDI Mode Plus,2016.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Sahibinden,2. El,129255,107750
3402,25/05/2020,Hyundai,I30,1.6 GDi Style,2013.0,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,150000,104500
3403,25/05/2020,Hyundai,I10,1.0 D-CVVT Jump,2017.0,Benzin,Düz Vites,1300 cc ve altı,76-100 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,74000,300000
3404,24/05/2020,Hyundai,I20,"1.4 CRDi
",2012.0,Dizel,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,38000,80000
3405,24/05/2020,Hyundai,Getz,1.5 CRDi GL Active,2005.0,Dizel,Düz Vites,1301-1600 cc,51-75 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,10000,39750
3406,24/05/2020,Hyundai,Accent Blue,1.6 CRDI Biz,2015.0,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Gümüş Gri ,Sedan,Galeriden,2. El,120000,89300
3407,23/05/2020,Hyundai,Elantra,1.6 D-CVVT Style,2018.0,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Sahibinden,2. El,24500,129750
3408,23/05/2020,Hyundai,Getz,1.3 GL Active,2004.0,Benzin/LPG,Düz Vites,1300 cc ve altı,51-75 BG,Mavi ,Spor / Coupe,Galeriden,2. El,220000,36750
3410,22/05/2020,Hyundai,I20,1.4 MPI Style,2017.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,38300,123750
3411,22/05/2020,Hyundai,Accent Era,1.5 CRDi Start,2012.0,Dizel,Düz Vites,1301-1600 cc,101-125 BG,Gri ,Sedan,Galeriden,2. El,212000,53000
3412,22/05/2020,Hyundai,I20,1.4 CVVT Jump,2013.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Mavi ,Hatchback 5 Kapı,Sahibinden,2. El,223000,74500
3413,21/05/2020,Hyundai,Accent,1.3 LX,2000.0,Benzin/LPG,Düz Vites,1301-1600 cc,51-75 BG,Beyaz ,Sedan,Sahibinden,2. El,262700,26500
3414,21/05/2020,Hyundai,I20,1.4 CRDi Style,2018.0,Dizel,Düz Vites,1301-1600 cc,100 BG ve altı,Beyaz ,Sedan,Galeriden,2. El,26000,127500
3415,20/05/2020,Hyundai,Accent,1.5 1.5i GLS,1999.0,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Gümüş Gri ,Sedan,Sahibinden,2. El,217000,34000
3416,19/05/2020,Hyundai,Accent,1.3 Admire,2005.0,Benzin/LPG,Düz Vites,1301-1600 cc,76-100 BG,Beyaz ,Sedan,Galeriden,2. El,265000,35500
3417,18/05/2020,Hyundai,i20 Troy,"1.2 DOHC
",2011.0,Benzin/LPG,Düz Vites,1300 cc ve altı,51-75 BG,Gümüş Gri ,Hatchback 5 Kapı,Sahibinden,2. El,111000,54000
