,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
2415,Ford,Mondeo,2.0 Ghia Otm.,2003.0,Benzin/LPG,Otomatik Vites,1801,101,Kahverengi ,Sedan,Galeriden,2. El,229000,42400
2416,Ford,Focus,1.6 TDCi Trend X,2015.0,Dizel,Düz Vites,1301,76,Beyaz ,Sedan,Sahibinden,2. El,90200,127000
2418,Ford,Escort,1.6 CLX,1998.0,Benzin/LPG,Düz Vites,1301,76,Mavi ,Sedan,Sahibinden,2. El,149000,29750
2419,Ford,Mondeo,2.0 Ghia Otm.,1997.0,Benzin/LPG,Otomatik Vites,1801,101,Kırmızı ,Sedan,Galeriden,2. El,280002,30900
2420,Ford,Focus,1.6 TDCi Trend,2005.0,Dizel,Düz Vites,1301,51,Gri ,Sedan,Galeriden,2. El,185,55000
2421,Ford,Kuga,1.5 TDCI Titanium,2018.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Arazi Aracı,Sahibinden,2. El,49000,165000
2422,Ford,Focus,1.6 TDCi Trend,2007.0,Dizel,Düz Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,200000,75700
2423,Ford,Focus,1.6 TDCi Trend,2010.0,Dizel,Düz Vites,1301,76,Gri ,Sedan,Galeriden,2. El,187000,75500
2424,Ford,Focus,1.6 Collection,2005.0,Benzin/LPG,Düz Vites,1301,100,Gümüş Gri ,Sedan,Sahibinden,2. El,708000,39000
2425,Ford,Focus,1.5 TDCi Trend X,2018.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Sedan,Sahibinden,2. El,28000,164000
2427,Ford,Focus,1.6 Ti-VCT Trend X,2016.0,Benzin/LPG,Düz Vites,1301,101,Füme ,Sedan,Galeriden,2. El,102000,118000
2428,Ford,Focus,1.5 TDCi Trend X,2015.0,Dizel,Yarı Otomatik Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,69000,141000
2429,Ford,Focus,1.6 TDCi Ghia,2006.0,Dizel,Düz Vites,1301,101,Gri ,Sedan,Sahibinden,2. El,244000,56000
2430,Ford,Focus,1.6 Ghia Otm.,2001.0,Benzin/LPG,Otomatik Vites,1301,76,Gümüş Gri ,Sedan,Galeriden,2. El,226000,46500
2431,Ford,Focus,1.5 TDCi Titanium,2016.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,108000,139750
2433,Ford,Focus,1.5 TDCi Trend X,2015.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,61000,129500
2434,Ford,Focus,1.6 TDCi Trend X,2016.0,Dizel,Düz Vites,1301,100,Beyaz ,Sedan,Yetkili,0 km,108500,121500
