,Marka,Arac Tip Grubu,Arac Tip,Model Yıl,Yakıt Turu,Vites,CCM,Beygir Gucu,Renk,Kasa Tipi,Kimden,Durum,Km,Fiyat
57,Audi,A5,2.7 TDI,2009.0,Dizel,Yarı Otomatik Vites,2501,176,Siyah ,Spor / Coupe,Galeriden,2. El,126000,162500
58,Audi,A3,A3 Sedan 1.6 TDI Design Line,2018.0,Dizel,Otomatik Vites,1301,101,Siyah ,Sedan,Galeriden,2. El,35000,236000
59,Audi,A4,A4 Sedan 2.0 TDI Quattro,2015.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,141000,222000
60,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Sedan,Galeriden,2. El,113000,225000
61,Audi,A4,2.0 TDI,2014.0,Dizel,Otomatik Vites,1801,151,Beyaz ,Sedan,Galeriden,2. El,210000,200000
62,Audi,A4,1.6,1996.0,Benzin/LPG,Otomatik Vites,1301,76,Lacivert ,Sedan,Galeriden,2. El,100,33500
63,Volkswagen,Polo,1.4 TDI Comfortline,2017.0,Dizel,Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,142000,123500
64,Audi,A6,2.0 TDI,2007.0,Dizel,Düz Vites,1801,126,Mavi ,Sedan,Galeriden,2. El,198000,120000
65,Audi,A4,2.0 TDI,2012.0,Dizel,Otomatik Vites,1801,126,Siyah ,Sedan,Sahibinden,2. El,168000,165000
66,Audi,A6,"2.0 Quattro
",2016.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,70000,475000
67,Audi,A3,"1.6 TDI Sportback
",2019.0,Dizel,Yarı Otomatik Vites,1301,101,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,19000,249950
68,Audi,A3,A3 Cabrio 1.5 TFSI Sport Line,2018.0,Benzin,Yarı Otomatik Vites,1301,126,Beyaz ,Spor / Coupe,Galeriden,2. El,21000,335000
69,Audi,A3,Diğer,2017.0,Benzin,Yarı Otomatik Vites,1301,126,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,25000,225000
70,Audi,A4,1.4 TFSI,2016.0,Benzin,Otomatik Vites,1301,126,Bej ,Sedan,Galeriden,2. El,37700,297900
71,Audi,A6,2.0 TDI,2013.0,Dizel,Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,164000,269900
72,Audi,Q5,2.0 TDI Quattro,2011.0,Dizel,Otomatik Vites,1801,151,Beyaz ,Arazi Aracı,Galeriden,2. El,117000,255000
73,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017.0,Dizel,Otomatik Vites,1301,151,Lacivert ,Sedan,Galeriden,2. El,52500,208500
74,Audi,A5,A5 Sportback 1.4 TFSI Sport,2017.0,Benzin,Otomatik Vites,1301,126,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,29000,445000
75,Audi,A5,A5 Sportback 1.4 TFSI Sport,2017.0,Benzin,Otomatik Vites,1301,126,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,51750,399999
76,Audi,A5,2.0 TDI Quattro,2012.0,Dizel,Otomatik Vites,1801,101,Beyaz ,Sedan,Galeriden,2. El,200000,222000
77,Audi,A6,1.9 TDI,2004.0,Dizel,Yarı Otomatik Vites,1801,126,Gümüş Gri ,Sedan,Galeriden,2. El,311000,65000
78,Audi,A4,1.6,2001.0,Benzin/LPG,Düz Vites,1301,101,Beyaz ,Sedan,Galeriden,2. El,300000,42500
79,Audi,A4,2.0 TDI,2016.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,121280,267500
80,Audi,Q2,1.0 TFSI Design,2019.0,Benzin,Otomatik Vites,1300,101,Beyaz ,Arazi Aracı,Galeriden,2. El,4500,265000
81,Audi,A4,2.0 TDI,2012.0,Dizel,Yarı Otomatik Vites,1801,176,Siyah ,Sedan,Galeriden,2. El,202000,182500
82,Land Rover,Discovery Sport,2.0 TD4 HSE,2016.0,Dizel,Otomatik Vites,1801,176,Beyaz ,Arazi Aracı,Galeriden,2. El,200550,444500
83,Audi,A6,A6 Sedan 2.0 TFSI,2007.0,Benzin/LPG,Otomatik Vites,1801,176,Füme ,Sedan,Sahibinden,2. El,255000,118000
